id;org_nom;org_adresse;code_postal;commune;url;niveau_enfant;titre;activite;public;type_ressource;thematiques;handicap_adapt;duree_txt;perennite;rattachement;thematique_autre;autre_precise;geo;lat;lon;code_postal_num;duree_min;description;long_duration;is_for_kids;is_accessible;date
695;Bretagne Culture Diversité;3 Bd Cosmao Dumanoir;56100;Lorient;http://bcd.bzh/becedia/fr;;Bretagne et Diversité;Films, documentaires, vidéos;Tous publics;VIDÉO|FLUX EN DIRECT|PROGRAMMES EN DIFFÉRÉ;AUDIOVISUEL|HISTOIRE|PHOTOGRAPHIE;;Toute une vie ne suffit pas;Accès permanent;Organisme privé;;;47.754827,-3.363818;47.754827;-3.363818;56100;150;Bed (Bretagne et Diversité) rassemble, sur une même plateforme, des ressources audiovisuelles emblématiques de la diversité culturelle. Elle offre un accès facile aux images, mais aussi les documente, et informe sur les contextes de réalisation.;true;false;false;2023-11-06
782;Ecole normale supérieure;45 rue d'ulm;75005;Paris;https://savoirs.ens.fr/recherche.php?rechercheTerme=Lundis+de+la+philosophie+%28Les%29;;Les lundis de la philosophie;Approfondir ses connaissances;Tous publics;AUDIO|RADIO|PODCASTS;HISTOIRE|LITTÉRATURE|SCIENCES HUMAINES|LANGUES;;Toute une vie ne suffit pas;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;48.842294,2.344285;48.842294;2.344285;75005;150;Plus de 175 conférences audio disponibles sur la philosophie : Le concept de bien, Les enjeux philosophiques de la question de la peine de mort,Sortir de l'Etat?, ...;true;false;false;2024-02-29
798;Espace culture Lympia;2 Quai Entrecasteaux;06000;Nice;https://www.departement06.fr/covid19-mesures-du-departement/la-culture-chez-vous-35419.html;107|Primaire|Collège|Lycée;Sélection #Culturecheznous;Expos, musées;Tous publics;LIVRES NUMÉRIQUES|EXPOSITIONS VIRTUELLES;MUSÉES;;Le temps d’un week-end;Accès permanent;Collectivité territoriale;;;43.69425,7.286006;43.69425;7.286006;6000;2880;Puisque vous ne pouvez plus aller à elle en cette période de confinement, le Département des Alpes-Maritimes amène la culture chez vous. Dans cette rubrique, la nous vous proposons une large offre culturelle allant de la visite virtuelle à 360° d’exposition inédite à la découverte de trésors patrimoniaux des Alpes-Maritimes tout en passant par l’apprentissage de pratiques artistiques venues d’ailleurs.;true;true;false;2024-07-10
823;Fonds régional d'art contemporain - Auvergne;6 Rue du Terrail;63000;Clermont-Ferrand;https://cloud.atalanteprod.com/FRAC/visite-frac-crewdson01.html;;Gregory Crewdson - The Becket Pictures;Expos, musées;Tous publics;EXPOSITIONS VIRTUELLES;MUSÉES|PHOTOGRAPHIE;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;45.778429,3.086884;45.778429;3.086884;63000;10;(Re) découvrez l'exposition que le FRAC Auvergne avait consacré à Gregory Crewdson en 2017 grâce à la visite virtuelle avec l'accès dans son intégralité au livre édité pour l'occasion;false;false;false;2022-10-31
825;Fonds régional d'art contemporain - Centre-Val de Loire;88 Rue du Colombier;45000;Orléans;http://www.frac-centre.fr/scolaires/documents-pedagogiques-55.html;;Dossiers pédagogiques;Approfondir ses connaissances;Parents / Éducateurs;RESSOURCES PÉDAGOGIQUES;ARTS DÉCORATIFS|DESIGN|MÉTIERS D’ART;;Le temps d’un week-end;Accès permanent;Ministère de la Culture ou opérateur national;;;47.903572,1.901082;47.903572;1.901082;45000;2880;Le Frac Centre-Val de Loire met à disposition des dossiers pédagogiques (thématiques et monographiques) réalisés à partir des expositions et des œuvres de la collection.;true;false;false;2024-05-24
933;YouTube;Youtube;75000;Paris;https://www.youtube.com/user/mamytwink;;Mamytwink - histoire et aventure;Films, documentaires, vidéos;Tous publics;VIDÉO|FLUX EN DIRECT|PROGRAMMES EN DIFFÉRÉ;ARCHITECTURE ET PATRIMOINE|HISTOIRE;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Organisme privé;;;47.251168,-1.517998;47.251168;-1.517998;75000;10;Explorations nocturnes, histoires de guerre, rencontres et explorations insolites;false;false;false;2025-08-13
946;Ministère de la Culture;3 rue de Valois;75001;Paris;http://www.dismoidixmots.culture.fr;;Dis-moi dix mots;Approfondir ses connaissances;Parents / Éducateurs;RESSOURCES PÉDAGOGIQUES;LITTÉRATURE|SCIENCES HUMAINES|LANGUES;;Le temps d’un week-end;Accès permanent;Ministère de la Culture ou opérateur national;;;48.863666,2.337933;48.863666;2.337933;75001;2880;Opération francophone de sensibilisation à la langue française qui invite chacun à jouer avec les mots et à s'exprimer sous une forme littéraire et/ou artistique. De nombreuses ressources pédagogiques, des jeux ainsi qu'une boîte à idées sont à votre disposition. Venez vite découvrir les dix mots « au fil de l'eau » !;true;false;false;2023-02-15
1057;Musée national de l'histoire de l'immigration (EPPD);293 av Daumesnil;75012;Paris;https://www.histoire-immigration.fr/ressources/histoire-de-l-immigration/conferences-et-debats-en-podcast;;Podcasts;Audios;Tous publics;AUDIO|RADIO|PODCASTS;HISTOIRE|MUSÉES;;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;48.834638,2.409586;48.834638;2.409586;75012;60;Le Musée organise régulièrement des conférences et des débats qui interrogent l'histoire de l'immigration et cherchent à éclairer l'actualité des migrations. Dans ces podcast d'une heure des spécialistes font un point des connaissances sur les sujets abordés.;false;false;false;2022-12-15
1092;OPCI-Ethnodoc (office pour le patrimoine culturel immatériel);4 avenue de la Rochejaquelein;85300;Le Perrier;https://fr.calameo.com/read/00523162933fa78f8cf5e;124|Primaire|Collège;Martin, Voyage initiatique au coeur de Grand-Lieu;Livres;Enfants;LIVRES NUMÉRIQUES;BANDE DESSINÉE|ÉDUCATION ARTISTIQUE ET CULTURELLE;FACILE À LIRE ET À COMPRENDRE (FALC);Le temps d’un vrai déjeuner;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;47.001364,-1.828144;47.001364;-1.828144;85300;60;Vous sentez les ailes qui poussent dans votre dos ? Créée par le syndicat du bassin versant de Grand-Lieu et réalisée par Chloé Simon, cette bande dessinée vous fera voyager au côté de Martin le martin-pêcheur, dans son périple au travers du bassin versant de Grand-Lieu.;false;true;true;2022-12-16
1124;Paris Musées;27 rue des petites écuries;75010;Paris;http://parismuseescollections.paris.fr/fr;;Collections et découvertes;Expos, musées;Tous publics;VIDÉO|FLUX EN DIRECT|PROGRAMMES EN DIFFÉRÉ|RESSOURCES PÉDAGOGIQUES|COURS EN LIGNE|COURS EN LIGNE OUVERTS ET MASSIFS|CONFÉRENCES|TUTORIELS|IMAGES|COLLECTIONS NUMÉRISÉES|BASES DE DONNÉES|LIVRES NUMÉRIQUES|JEUX|EXPOSITIONS VIRTUELLES|CRÉATION ET PRATIQUES ARTISTIQUES;ARCHÉOLOGIE|ARCHITECTURE ET PATRIMOINE|MUSÉES|PEINTURE|SCULPTURE;;Toute une vie ne suffit pas;Accès permanent;Collectivité territoriale;;;48.873636,2.351538;48.873636;2.351538;75010;150;Visiter nos collections en ligne, à travers différents supports : vidéos, applications, œuvres d’art numérisées, parcours à suivre…;true;false;false;2022-08-26
